Pick,Team,To,Player,Pos,Age,School,40-Yard Dash,Vertical Jump,Broad Jump,20-Yard Shuttle,Bench Press,G,AP1,PB,St
138,CIN,7.0,Natu Tuatagaloa,DE,23,California,5.07,30.5,101,4.45,22,76,0,0,1
140,RAI,2.0,Jeff Francis,QB,23,Tennessee,4.90,29.5,102,4.51,,1,0,0,0
141,DET,16.0,Rodney Peete,QB,23,Southern California,4.72,29.0,103,4.53,,104,0,0,7
144,PIT,8.0,Mark Stock,WR,23,Virginia Military Inst,4.55,33.0,114,4.24,,25,0,0,0
145,ATL,10.0,Troy Sadowski,TE,23,Georgia,4.85,32.5,117,4.24,16,100,0,0,0
150,PHO,6.0,Jay Taylor,DB,21,San Jose State,4.54,33.0,116,4.63,,79,0,0,1
152,DEN,,Anthony Stafford,WR,,Oklahoma,4.47,36.0,120,4.16,12,,0,0,0
153,NYJ,1.0,Titus Dixon,WR,23,Troy,4.44,33.0,114,4.38,,4,0,0,0
156,RAI,3.0,Doug Lloyd,RB,24,North Dakota State,4.64,31.5,115,4.06,14,1,0,0,0
158,NYG,13.0,Howard Cross,TE,22,Alabama,5.17,31.5,109,4.63,9,207,0,0,10
159,NOR,10.0,Floyd Turner,WR,23,Northwestern State (LA),4.65,32.0,114,4.32,,114,0,0,3
165,NWE,,Eric Mitchel,RB,,Oklahoma,4.44,34.0,116,4.20,12,,0,0,0
172,ATL,1.0,Undra Johnson,RB,23,West Virginia,4.60,30.0,106,4.34,15,6,0,0,0
174,PIT,8.0,D.J. Johnson,DB,23,Kentucky,4.61,36.0,116,4.21,10,117,0,0,6
184,SEA,,Mike Nettles,DB,,Memphis,4.71,31.5,112,4.32,16,,0,0,0
185,IND,6.0,Charles Washington,DB,22,Cameron,4.72,35.5,117,,,74,0,0,0
191,MIN,2.0,Benji Roland,DE,22,Auburn,5.24,25.0,101,4.67,,3,0,0,0
192,CHI,,Brent Snyder,QB,,Utah State,5.09,25.5,104,4.45,,,0,0,0
193,BUF,4.0,Chris Hale,DB,23,Southern California,4.52,40.5,129,4.11,8,43,0,0,0
195,SDG,,Terrence Jones,QB,,Tulane,4.64,34.0,110,4.34,,,0,0,0
197,DET,,Chris Parker,DT,,West Virginia,5.42,23.5,93,4.78,17,,0,0,0
201,PIT,,Chris Asbeck,DT,,Cincinnati,5.11,30.0,102,4.71,23,,0,0,0
204,SDG,1.0,Dana Brinson,WR,24,Nebraska,4.45,37.0,121,4.08,,10,0,0,0
210,NWE,2.0,Rodney Rice,DB,23,Brigham Young,4.65,35.0,113,4.38,,26,0,0,0
213,NOR,,Fred Hadley,WR,,Mississippi State,4.56,32.5,113,4.24,,,0,0,0
216,CHI,1.0,Tony Woods,DT,23,Oklahoma,5.06,27.5,103,4.52,21,15,0,0,0
219,MIN,,Alex Stewart,DE,,Cal State Fullerton,4.74,37.5,123,4.63,27,,0,0,0
231,SDG,,Pat Davis,TE,,Syracuse,4.98,35.0,109,4.57,17,,0,0,0
270,CHI,,Todd Millikan,TE,,Nebraska,4.84,30.5,100,4.44,11,,0,0,0
271,HOU,8.0,Tracy Johnson,RB,22,Clemson,4.88,,,,19,121,0,0,1
275,MIA,,Greg Ross,DT,,Memphis,5.08,31.0,103,4.58,18,,0,0,0
278,CIN,,Bob Jean,QB,,New Hampshire,4.88,32.5,117,4.60,,,0,0,0
285,PIT,,Brian Slater,WR,,Washington,4.56,31.5,108,4.05,,,0,0,0
286,ATL,1.0,Greg Paterra,RB,22,Slippery Rock,4.56,34.0,117,4.48,21,10,0,0,0
287,SDG,1.0,Victor Floyd,RB,23,Florida State,4.56,34.5,117,4.15,6,6,0,0,0
290,TAM,,Willie Griffin,DE,,Nebraska,5.19,25.0,103,5.29,,,0,0,0
292,DEN,5.0,Richard Shelton,DB,23,Liberty,4.52,39.0,125,4.39,13,44,0,0,0
294,NWE,,Tony Hinz,RB,,Harvard,4.76,30.5,121,4.17,15,,0,0,0
300,NOR,3.0,Calvin Nicholson,DB,22,Oregon State,4.52,31.0,109,4.53,11,9,0,0,0
304,CHI,2.0,George Streeter,DB,22,Notre Dame,4.77,36.0,110,4.24,18,8,0,0,0
306,CIN,1.0,Dana Wells,NT,23,Arizona,4.94,29.0,99,4.71,27,1,0,0,0
308,DAL,1.0,Scott Ankrom,WR,23,Texas Christian,4.60,33.5,110,4.21,10,10,0,0,0
335,MIN,,Everett Ross,WR,,Ohio State,4.58,36.0,113,4.19,,,0,0,0
3,SEA,11.0,Cortez Kennedy,DT,22,Miami (FL),4.95,,,,23,167,3,8,9
14,NOR,8.0,Renaldo Turnbull,DE,24,West Virginia,4.64,34.5,121,4.46,15,120,1,1,3
16,BUF,7.0,James Williams,DB,23,Fresno State,4.34,38.0,129,4.03,9,70,0,0,2
158,NOR,10.0,James Williams,LB,21,Fresno State,4.34,38.0,129,4.03,9,137,0,0,1
18,GNB,8.0,Tony Bennett,DE,23,Mississippi,4.74,36.0,122,4.04,,108,0,0,5
19,GNB,5.0,Darrell Thompson,RB,22,Minnesota,4.62,34.5,114,,16,60,0,0,2
20,ATL,9.0,Steve Broussard,RB,23,Washington State,4.45,31.0,110,4.29,15,121,0,0,1
21,PIT,10.0,Eric Green,TE,23,Liberty,4.84,,,,12,120,0,2,6
25,SFO,7.0,Dexter Carter,RB,22,Florida State,4.48,34.5,116,3.99,3,100,0,0,1
26,DAL,7.0,Alexander Wright,WR,23,Auburn,4.42,35.5,127,,,86,0,0,2
28,NYJ,4.0,Reggie Rembert,WR,23,West Virginia,4.66,30.0,118,,,28,0,0,0
31,PHO,3.0,Anthony Thompson,RB,23,Indiana,4.77,33.5,,,24,37,0,0,0
275,DEN,1.0,Anthony Thompson,LB,23,Indiana,4.77,33.5,,,24,10,0,0,0
32,CHI,1.0,Fred Washington,DT,23,Texas Christian,5.10,29.0,110,4.58,24,11,0,0,0
35,DET,10.0,Dan Owens,DE,23,Southern California,5.00,27.5,105,4.50,26,145,0,0,5
36,IND,11.0,Anthony Johnson,RB,22,Notre Dame,4.83,32.0,112,3.93,22,159,0,0,3
37,RAI,9.0,Aaron Wallace,LB,23,Texas A&M,4.66,32.5,119,4.39,10,102,0,0,2
38,CIN,9.0,Harold Green,RB,22,South Carolina,4.74,32.0,118,4.25,16,124,0,1,6
41,HOU,4.0,Jeff Alm,DT,22,Notre Dame,4.97,28.0,111,4.45,19,44,0,0,1
43,PIT,7.0,Kenny Davidson,DE,23,LSU,4.69,32.0,112,4.50,19,93,0,0,4
44,NOR,6.0,Vince Buck,DB,22,Central State,4.79,30.0,108,4.26,10,84,0,0,4
47,SFO,7.0,Dennis Brown,DE,22,Washington,5.02,24.5,99,4.75,22,110,0,0,3
49,RAM,9.0,Pat Terrell,DB,22,Notre Dame,4.53,35.5,121,3.93,,139,0,0,4
50,PHI,1.0,Mike Bellamy,WR,24,Illinois,4.52,31.5,116,4.23,,6,0,0,0
51,NYG,9.0,Mike Fox,DE,23,West Virginia,5.09,24.5,100,4.58,,133,0,0,4
53,SFO,13.0,Eric Davis,DB,22,Jacksonville State (AL),4.53,38.0,124,4.06,19,188,1,2,9
54,MIN,3.0,Mike Jones,TE,23,Texas A&M,4.77,27.5,102,,15,31,0,0,0
55,ATL,6.0,Oliver Barnett,DE,24,Kentucky,4.95,32.0,111,4.50,27,85,0,0,0
58,PHO,17.0,Ricky Proehl,WR,22,Wake Forest,4.58,34.0,117,4.01,,244,0,0,6
61,CHI,4.0,Tim Ryan,DE,22,Southern California,5.22,26.5,94,4.65,23,58,0,0,0
64,DAL,8.0,Jimmie Jones,DT,24,Miami (FL),4.89,33.5,116,4.50,18,121,0,0,3
66,MIA,6.0,Alfred Oglesby,NT,23,Houston,5.10,,,,,59,0,0,1
70,PIT,14.0,Neil O'Donnell,QB,24,Maryland,4.89,32.5,109,4.03,,125,0,1,7
71,NOR,11.0,Joel Smeenge,DE,22,Western Michigan,4.75,36.0,118,4.12,16,156,0,0,3
72,HOU,4.0,Willis Peguese,DE,23,Miami (FL),4.86,32.0,113,4.40,21,35,0,0,0
74,MIN,3.0,Marion Hobby,DE,23,Tennessee,5.28,27.0,101,4.73,11,42,0,0,0
77,PHI,8.0,Fred Barnett,WR,24,Arizona State,4.44,40.5,129,4.36,,96,0,1,6
78,RAM,3.0,Latin Berry,DB,23,Oregon,4.45,40.0,131,4.02,20,32,0,0,0
79,NYG,1.0,Greg Mark,DE,23,Miami (FL),4.97,30.0,100,4.40,15,6,0,0,0
81,PIT,6.0,Craig Veasey,DT,23,Houston,4.93,31.5,105,4.70,,69,0,0,0
83,IND,1.0,Stacey Simmons,WR,22,Florida,4.38,28.5,116,,,14,0,0,0
84,NYJ,2.0,Troy Taylor,QB,22,California,4.73,33.5,116,4.13,,7,0,0,0
85,PHO,2.0,Travis Davis,NT,24,Michigan State,5.22,26.5,105,4.63,28,18,0,0,1
86,WAS,6.0,Cary Conklin,QB,22,Washington,4.96,26.5,109,4.56,,7,0,0,0
87,TAM,4.0,Jesse Anderson,TE,24,Mississippi State,4.59,35.0,118,4.20,17,35,0,0,0
88,CHI,,Tony Moss,WR,,LSU,4.60,,,4.24,,,0,0,0
89,SEA,11.0,Chris Warren,RB,22,Ferrum,4.61,36.5,114,,14,162,0,3,6
96,KAN,4.0,Fred Jones,WR,23,Grambling State,4.51,38.0,124,4.05,,41,0,0,0
97,PIT,11.0,Chris Calloway,WR,22,Michigan,4.69,32.5,114,,,158,0,0,6
100,BUF,4.0,Eddie Fuller,RB,22,LSU,4.61,35.5,115,4.06,,20,0,0,0
102,GNB,12.0,Jackie Harris,TE,22,Louisiana-Monroe,4.85,31.5,114,4.38,7,167,0,0,8
103,IND,5.0,Alan Grant,DB,23,Stanford,4.61,34.0,112,4.59,17,72,0,0,0
104,MIN,2.0,Alonzo Hampton,DB,23,Pittsburgh,4.57,30.0,113,4.13,12,25,0,0,0
105,DET,12.0,Chris Oldham,DB,21,Oregon,4.69,31.5,111,4.09,13,155,0,0,0
109,WAS,,Rico Labbe,DB,,Boston College,4.75,35.0,119,4.19,16,,0,0,0
110,NWE,3.0,Junior Robinson,DB,22,East Carolina,4.58,31.0,112,4.38,14,26,0,0,0
112,NYJ,3.0,Tony Savage,NT,23,Washington State,5.29,26.5,99,4.54,19,5,0,0,0
116,MIN,4.0,Reggie Thornton,WR,22,Bowling Green,4.64,31.0,120,4.09,,6,0,0,0
119,SEA,4.0,Eric Hayes,DT,22,Florida State,5.20,24.5,96,4.81,15,24,0,0,0
122,CIN,2.0,Lynn James,WR,25,Arizona State,4.48,32.5,121,4.44,,25,0,0,0
123,DAL,2.0,Stan Smagala,DB,22,Notre Dame,4.51,37.5,126,3.99,15,11,0,0,0
125,NOR,6.0,Charles Arbuckle,TE,21,UCLA,4.73,31.0,115,4.32,18,42,0,0,0
129,CLE,14.0,Rob Burnett,DE,23,Syracuse,4.99,30.0,108,4.53,20,202,0,1,10
130,WAS,14.0,Brian Mitchell,RB,22,Southwestern Louisiana,4.59,32.0,117,4.01,,223,1,1,0
133,PHI,7.0,Calvin Williams,WR,23,Purdue,4.52,35.0,127,4.20,,100,0,0,6
138,SDG,11.0,John Friesz,QB,23,Idaho,5.29,22.0,97,4.57,,69,0,0,1
139,ATL,1.0,Mike Pringle,RB,22,Cal State Fullerton,4.53,35.5,118,4.25,13,3,0,0,0
140,NYJ,13.0,Terance Mathis,WR,23,New Mexico,4.65,30.5,109,4.29,,206,0,1,8
142,PHO,2.0,Tyrone Shavers,WR,22,Lamar,4.49,34.5,124,4.20,,1,0,0,0
144,CHI,9.0,John Mangum,DB,23,Alabama,4.58,34.0,117,4.25,17,105,0,0,1
145,SDG,5.0,David Pool,DB,23,Carson-Newman,4.51,32.5,115,4.35,11,43,0,0,1
150,CIN,2.0,Don Odegard,DB,23,UNLV,4.60,31.5,115,4.02,14,30,0,0,0
151,MIA,7.0,Sean Vanhorse,DB,22,Howard,4.56,35.0,115,4.37,10,70,0,0,1
152,KAN,5.0,Tom Sims,DT,23,Pittsburgh,5.12,29.0,104,4.44,17,47,0,0,0
155,PIT,,Ronald Heard,WR,,Bowling Green,4.52,34.5,114,4.13,,,0,0,0
156,NOR,6.0,Mike Buck,QB,23,Maine,5.04,25.0,103,4.33,,12,0,0,0
160,WAS,1.0,Kent Wells,DT,23,Nebraska,5.32,27.0,95,4.62,22,6,0,0,0
161,RAM,1.0,Tim Stallworth,WR,24,Washington State,4.57,34.0,114,,,1,0,0,0
163,SDG,10.0,Derrick Walker,TE,23,Michigan,4.80,32.0,109,4.24,26,129,0,0,6
164,DEN,2.0,Ronnie Haliburton,TE,22,LSU,4.79,33.0,114,4.06,9,17,0,0,0
171,TAM,2.0,Donnie Gardner,DE,22,Kentucky,5.13,27.0,104,4.64,16,10,0,0,0
174,DET,6.0,Tracy Hayworth,LB,22,Tennessee,4.87,34.5,116,4.35,21,72,0,0,2
178,CLE,9.0,Scott Galbraith,TE,23,Southern California,4.92,30.0,108,4.60,23,118,0,0,2
184,HOU,,Andy Murray,RB,,Kentucky,4.94,28.5,105,4.42,21,,0,0,0
192,DEN,14.0,Shannon Sharpe,TE,22,Savannah State,4.67,34.0,122,4.55,,204,4,8,12
193,SDG,,Keith Collins,DB,,Appalachian State,4.58,33.5,118,4.30,11,,0,0,0
194,DET,9.0,Willie Green,WR,24,Mississippi,4.60,31.5,119,4.12,,114,0,0,4
195,ATL,6.0,Tory Epps,NT,23,Memphis,5.06,27.0,108,4.70,21,70,0,0,1
199,PHO,8.0,Mickey Washington,DB,22,Texas A&M,4.68,29.0,114,4.43,,108,0,0,3
200,CHI,2.0,James Rouse,RB,23,Arkansas,4.67,33.5,110,4.29,,30,0,0,0
201,SDG,,J.J. Flannigan,RB,,Colorado,4.58,,115,,11,,0,0,0
205,MIA,,Thomas Woods,WR,,Tennessee,4.61,30.5,105,,,,0,0,0
206,IND,3.0,Ken Clark,TE,24,Nebraska,4.66,34.0,111,4.27,10,34,0,0,1
215,GNB,3.0,Roger Brown,DB,23,Virginia Tech,4.60,30.5,112,4.21,11,37,0,0,0
220,SFO,,Dwight Pickens,WR,,Fresno State,4.56,34.0,121,4.41,,,0,0,0
223,NYJ,4.0,Dale Dawkins,WR,23,Miami (FL),4.65,35.0,126,4.15,,36,0,0,0
228,CHI,6.0,Johnny Bailey,RB,23,Texas A&M-Kingsville,4.60,,108,,,81,0,1,0
232,IND,2.0,Darvell Huffman,WR,23,Boston College,4.50,37.5,125,4.06,,3,0,0,0
233,NOR,,Broderick Graves,RB,,Winston-Salem State,4.61,31.5,113,4.50,19,,0,0,0
234,CIN,4.0,Mitchell Price,DB,23,Tulane,4.58,34.0,123,4.16,,41,0,0,0
238,BUF,,Clarkston Hines,WR,,Duke,4.53,32.5,111,,,,0,0,0
242,GNB,,Kirk Baumgartner,QB,,Wisconsin-Steven's Point,5.20,23.0,100,4.64,,,0,0,0
244,PHI,6.0,Cecil Gray,DE,22,North Carolina,5.24,31.5,113,4.55,,45,0,0,0
246,NYG,,Clint James,DE,,LSU,5.25,28.0,101,4.94,13,,0,0,0
248,SFO,2.0,Odell Haggins,NT,23,Florida State,4.97,28.0,103,4.65,,5,0,0,0
254,TAM,,Mike Busch,TE,,Iowa State,5.22,28.5,103,4.40,11,,0,0,0
255,CHI,1.0,Terry Price,DE,22,Texas A&M,5.05,29.5,102,4.63,19,2,0,0,0
260,NOR,,Gary Cooper,WR,,Clemson,4.59,37.5,127,4.07,,,0,0,0
262,WAS,,D'Juan Francisco,DB,,Notre Dame,4.65,33.0,112,4.28,,,0,0,0
265,BUF,11.0,Mike Lodish,NT,23,UCLA,5.04,27.0,110,4.19,22,166,0,0,1
273,PHI,,Orlando Adams,DT,,Jacksonville State (AL),5.19,23.0,88,5.06,20,,0,0,0
279,NYJ,,Derrick Kelson,DB,,Purdue,4.45,33.5,116,4.28,14,,0,0,0
281,TAM,2.0,Terry Anthony,WR,22,Florida State,4.85,29.5,114,4.19,,10,0,0,0
284,CHI,,Brent White,DE,,Michigan,5.15,25.5,104,4.89,,,0,0,0
287,NOR,,Webbie Burnett,DT,,Western Kentucky,5.14,27.5,105,4.81,23,,0,0,0
296,CLE,,Clemente Gordon,QB,,Grambling State,4.84,28.0,109,4.54,,,0,0,0
299,GNB,,Harry Jackson,RB,,St. Cloud State,4.80,30.0,115,4.03,18,,0,0,0
304,RAI,,Myron Jones,DB,,Fresno State,4.47,37.0,119,4.56,18,,0,0,0
308,PHO,,Donnie Riley,RB,,Central Michigan,4.66,31.5,105,4.50,13,,0,0,0
312,SEA,,John Gromos,QB,,Vanderbilt,5.01,27.0,100,4.31,,,0,0,0
314,CIN,,Andre Riley,WR,,Washington,4.71,32.0,112,,,,0,0,0
319,PIT,1.0,Richard Bell,RB,23,Nebraska,4.66,30.5,112,4.27,,16,0,0,0
327,PHI,,Judd Garrett,RB,,Princeton,4.73,29.0,107,4.22,,,0,0,0
331,RAI,,Demetrius Davis,TE,,UNLV,4.88,32.5,110,4.32,13,,0,0,0
1,DAL,10.0,Russell Maryland,DT,22,Miami (FL),4.96,,,,26,154,0,1,10
3,ATL,5.0,Bruce Pickens,DB,23,Nebraska,4.48,34.5,127,4.12,,48,0,0,0
5,RAM,12.0,Todd Lyght,DB,22,Notre Dame,4.54,35.5,123,,15,175,0,1,11
6,PHO,10.0,Eric Swann,DT,21,North Carolina State,5.06,29.5,106,4.81,23,126,0,2,6
13,ATL,9.0,Mike Pritchard,WR,21,Colorado,4.48,35.5,120,4.15,,127,0,0,6
14,NWE,6.0,Leonard Russell,RB,21,Arizona State,4.78,33.0,112,4.36,20,85,0,0,5
15,PIT,2.0,Huey Richardson,LB,23,Florida,4.84,33.0,113,4.13,11,16,0,0,0
17,WAS,4.0,Bobby Wilson,DT,23,Michigan State,5.12,,,,22,42,0,0,2
18,CIN,9.0,Alfred Williams,DE,22,Colorado,4.88,33.0,118,4.31,,128,1,1,5
20,DAL,14.0,Kelvin Pritchett,DT,21,Mississippi,5.06,30.0,106,4.55,30,208,0,0,4
23,MIA,7.0,Randal Hill,WR,21,Miami (FL),4.39,36.0,117,4.05,,103,0,0,3
26,BUF,12.0,Henry Jones,DB,23,Illinois,4.48,31.0,114,4.01,16,158,1,1,8
28,HOU,10.0,Mike Dumas,DB,22,Indiana,4.67,34.5,118,4.24,,102,0,0,4
30,DEN,7.0,Reggie Johnson,TE,23,Arizona,4.69,34.5,120,4.43,17,77,0,0,1
30,DEN,7.0,Reggie Johnson,TE,23,Florida State,4.73,34.5,117,,19,77,0,0,1
206,MIN,,Reggie Johnson,DE,,Arizona,4.69,34.5,120,4.43,17,,0,0,0
206,MIN,,Reggie Johnson,DE,,Florida State,4.73,34.5,117,,19,,0,0,0
32,PHO,9.0,Mike Jones,DE,22,North Carolina State,5.19,29.0,105,4.47,21,135,0,0,4
35,GNB,9.0,Esera Tuaolo,NT,23,Oregon State,5.06,29.5,105,4.52,21,111,0,0,3
39,SDG,9.0,Eric Bieniemy,RB,22,Colorado,4.50,36.0,109,,19,142,0,0,0
40,IND,1.0,Shane Curry,DE,23,Miami (FL),5.04,27.0,108,4.24,20,9,0,0,0
41,NWE,8.0,Jerome Henderson,DB,22,Clemson,4.47,32.5,115,4.14,12,98,0,0,2
42,NOR,3.0,Wesley Carroll,WR,24,Miami (FL),4.61,33.0,121,4.06,,40,0,0,0
43,RAI,3.0,Nick Bell,RB,23,Iowa,4.52,39.5,120,,19,35,0,0,0
45,SFO,11.0,Ricky Watters,RB,22,Notre Dame,4.71,34.5,111,4.41,18,144,0,5,9
46,PIT,11.0,Jeff Graham,WR,22,Ohio State,4.62,35.0,118,4.29,,160,0,0,9
51,SEA,3.0,Doug Thomas,WR,21,Clemson,4.45,31.0,114,4.21,,39,0,0,0
54,BUF,11.0,Phil Hansen,DE,23,North Dakota State,4.87,33.0,107,4.25,17,156,0,0,11
57,CLE,10.0,James Jones,DT,22,Northern Iowa,5.19,27.5,100,4.61,25,160,0,0,9
58,DET,2.0,Reggie Barrett,WR,22,Texas-El Paso,4.59,37.0,123,4.16,,10,0,0,0
59,PHO,14.0,Aeneas Williams,DB,23,Southern,4.57,32.0,111,4.30,12,211,3,8,13
60,MIA,9.0,Aaron Craver,RB,22,Fresno State,4.47,38.0,126,4.29,19,103,0,0,4
61,DEN,17.0,Keith Traylor,DT,22,Central Oklahoma,4.81,36.0,117,4.61,17,229,0,0,11
66,TAM,9.0,Lawrence Dawsey,WR,23,Florida State,4.68,33.5,114,4.31,,83,0,0,3
67,GNB,7.0,Don Davey,DT,23,Wisconsin,5.13,30.5,113,4.32,20,92,0,0,3
68,MIN,12.0,Jake Reed,WR,23,Grambling State,4.62,35.5,122,4.38,,155,0,0,6
73,PIT,9.0,Ernie Mills,WR,22,Florida,4.46,38.5,125,3.96,,118,0,0,1
74,SEA,2.0,David Daniels,WR,21,Penn State,4.56,33.0,115,4.22,,29,0,0,0
76,WAS,5.0,Ricky Ervins,RB,22,Southern California,4.53,27.5,108,4.41,20,76,0,0,1
77,KAN,3.0,Tim Barnett,WR,23,Jackson State,4.59,34.5,115,4.27,,44,0,0,1
82,BUF,4.0,Darryl Wren,DB,24,Pittsburgh State (KS),4.44,35.0,115,4.20,10,20,0,0,0
84,NWE,9.0,Scott Zolak,QB,23,Maryland,5.01,30.5,105,4.40,,55,0,0,0
86,PHO,5.0,Dexter Davis,DB,21,Clemson,4.65,32.0,110,4.41,7,59,0,0,0
88,PIT,3.0,Sammy Walker,DB,22,Texas Tech,4.45,33.0,121,4.14,8,26,0,0,0
89,DEN,7.0,Derek Russell,WR,22,Arkansas,4.59,,,,,88,0,0,2
90,SDG,10.0,Yancey Thigpen,WR,22,Winston-Salem State,4.60,38.5,122,4.37,,112,0,2,4
92,MIN,6.0,Randy Baldwin,RB,24,Mississippi,4.57,32.0,117,4.09,20,65,0,0,0
93,TAM,5.0,Tony Covington,DB,23,Virginia,4.60,32.0,110,4.30,11,42,0,0,1
94,NYJ,6.0,Mark Gunn,DT,23,Pittsburgh,5.17,30.5,108,4.59,16,70,0,0,1
99,CIN,8.0,Donald Hollas,QB,23,Rice,4.93,28.5,104,4.31,,32,0,0,0
101,HOU,4.0,David Rocker,DT,22,Auburn,5.11,,,,21,34,0,0,0
103,PIT,6.0,Adrian Cooper,TE,23,Oklahoma,4.94,31.5,110,4.67,19,77,0,0,3
105,CHI,,Joe Johnson,DB,,North Carolina State,4.66,30.0,108,3.99,13,,0,0,0
106,DAL,6.0,Bill Musgrave,QB,23,Oregon,4.98,30.5,106,4.27,,12,0,0,0
107,RAM,11.0,Robert Bailey,DB,23,Miami (FL),4.53,33.5,115,4.09,16,146,0,0,1
109,CIN,5.0,Rob Carpenter,WR,23,Syracuse,4.62,34.5,119,4.03,,60,0,0,0
115,DEN,2.0,Greg Lewis,RB,22,Washington,4.61,39.0,116,,15,32,0,0,0
116,RAM,6.0,Robert Young,DE,22,Mississippi State,5.01,,,,15,78,0,0,3
117,PHO,,Vance Hammond,DT,,Clemson,5.36,28.5,101,4.88,25,,0,0,0
123,SDG,8.0,Duane Young,TE,23,Michigan State,5.37,24.5,99,4.88,18,73,0,0,4
124,NWE,10.0,Ben Coates,TE,22,Livingstone,4.95,28.0,109,4.56,15,158,2,5,7
125,IND,6.0,Kerry Cash,TE,22,Texas,4.96,34.0,119,4.34,17,71,0,0,4
128,SEA,,Harlan Davis,DB,,Tennessee,4.55,31.0,110,4.18,,,0,0,0
129,HOU,4.0,Gary Wellman,WR,24,Southern California,4.56,31.0,110,4.34,,28,0,0,0
133,KAN,9.0,Charles Mincy,DB,21,Washington,4.68,31.5,114,4.27,10,114,0,0,3
134,CHI,6.0,Anthony Morgan,WR,23,Tennessee,4.55,31.5,116,4.29,,64,0,0,0
140,NWE,1.0,David Key,DB,23,Michigan,4.62,35.5,124,4.02,15,3,0,0,0
146,RAI,10.0,Nolan Harrison,DE,22,Indiana,5.07,28.0,105,4.66,29,128,0,0,4
147,TAM,8.0,Rhett Hall,DT,22,California,5.21,29.0,106,4.27,17,68,0,0,2
148,NYJ,,Blaise Bryant,RB,,Iowa State,4.63,31.0,111,,16,,0,0,0
152,IND,5.0,Mel Agee,DE,22,Illinois,5.28,31.5,105,4.55,14,54,0,0,0
155,SEA,12.0,Michael Sinclair,DE,23,Eastern New Mexico,4.95,32.0,114,4.21,22,148,0,3,7
157,CIN,2.0,Richard Fain,DB,23,Florida,4.62,34.0,113,4.06,,24,0,0,0
158,PIT,6.0,Leroy Thompson,RB,22,Penn State,4.60,32.5,112,4.13,13,80,0,0,0
159,WAS,,Dennis Ransom,TE,,Texas A&M,5.08,30.5,111,4.56,14,,0,0,0
163,MIN,7.0,Todd Scott,DB,23,Southwestern Louisiana,4.65,33.0,115,4.02,14,83,0,1,4
166,BUF,,Millard Hamilton,WR,,Clemson,4.59,36.5,117,4.34,,,0,0,0
171,PHO,2.0,Ivory Lee Brown,RB,22,Arkansas-Pine Bluff,4.70,36.0,121,4.78,7,7,0,0,0
172,ATL,3.0,Brian Mitchell,DB,22,Brigham Young,4.58,33.0,115,4.17,,36,0,0,0
177,SDG,2.0,David Jones,TE,22,Delaware State,4.57,36.5,121,4.44,,16,0,0,0
178,DET,,Franklin Thomas,TE,,Grambling State,5.02,31.0,106,4.77,19,,0,0,0
181,IND,,James Bradley,WR,,Michigan State,4.56,37.0,127,3.97,,,0,0,0
188,WAS,6.0,Keith Cash,TE,22,Texas,4.74,33.0,118,4.52,,64,0,0,1
190,CHI,9.0,Paul Justin,QB,23,Arizona State,5.04,27.5,104,4.36,,34,0,0,0
191,MIA,5.0,Chris Green,DB,23,Illinois,4.65,30.5,101,4.14,18,66,0,0,0
193,SFO,2.0,Sheldon Canley,RB,23,San Jose State,4.65,31.0,113,4.35,18,1,0,0,0
194,BUF,,Amir Rasul,RB,,Florida A&M,4.57,33.0,118,4.28,23,,0,0,0
195,NYG,,Simmie Carter,DB,,Southern Mississippi,4.78,31.5,119,4.28,13,,0,0,0
199,ATL,,Randy Austin,TE,,UCLA,4.96,31.0,113,4.59,17,,0,0,0
200,DEN,2.0,Kenny Walker,DE,24,Nebraska,4.89,31.5,115,4.29,18,31,0,0,1
203,GNB,,Johnny Walker,WR,,Texas,4.73,33.0,118,4.21,,,0,0,0
204,PHO,5.0,Jerry Evans,TE,22,Toledo,4.92,28.0,99,4.46,30,43,0,0,1
205,DET,1.0,Cedric Jackson,RB,23,Texas Christian,4.68,31.5,115,4.30,25,8,0,0,0
208,IND,,Tim Bruton,TE,,Missouri,5.05,,,,16,,0,0,0
210,NOR,10.0,Frank Wainright,TE,23,Northern Colorado,4.85,31.5,112,4.30,22,121,0,0,0
211,CIN,1.0,Mike Dingle,RB,22,South Carolina,4.85,31.0,106,4.71,,8,0,0,0
214,HOU,9.0,Gary Brown,RB,22,Penn State,4.75,29.0,111,4.65,17,99,0,0,3
215,WAS,13.0,Jimmy Spencer,DB,22,Florida,4.48,40.5,120,4.09,9,177,0,0,4
217,CHI,,Larry Horton,DB,,Texas A&M,4.64,37.5,116,4.01,4,,0,0,0
220,MIA,,Roland Smith,DB,,Miami (FL),4.70,32.5,115,4.26,8,,0,0,0
222,BUF,3.0,Brad Lamb,WR,23,Anderson,4.71,33.5,115,4.41,,8,0,0,0
226,ATL,10.0,Ernie Logan,NT,23,East Carolina,5.02,34.5,115,4.40,,119,0,0,2
228,RAM,5.0,Jeff Fields,DT,24,Arizona State,5.14,30.5,110,4.56,22,2,0,0,0
231,DET,1.0,Darryl Milburn,DE,22,Grambling State,4.71,36.0,111,4.57,22,2,0,0,0
232,MIN,,Gerald Hudson,RB,,Oklahoma State,4.60,30.0,107,4.10,23,,0,0,0
234,NYJ,,Paul Glonek,DT,,Arizona,4.99,33.5,118,3.99,23,,0,0,0
