Pick,Team,To,Player,Pos,Age,School,40-Yard Dash,Vertical Jump,Broad Jump,20-Yard Shuttle,Bench Press,G,AP1,PB,St
143,TAM,1.0,Steve Bartalo,RB,23,Colorado State,4.83,28.5,114,4.05,14,9,0,0,0
145,GNB,,Willie Marshall,WR,,Temple,4.59,32.5,120,,3,,0,0,0
146,STL,2.0,Mark Garalczyk,DT,23,Western Michigan,5.01,28.0,106,4.56,14,24,0,0,0
152,NOR,1.0,Thomas Henley,WR,22,Stanford,4.53,31.0,108,4.22,,1,0,0,0
156,MIN,2.0,Greg Richardson,WR,22,Alabama,4.35,28.0,113,4.21,1,4,0,0,0
163,NWE,5.0,Gene Taylor,WR,24,Fresno State,4.54,30.5,127,4.32,10,13,0,0,0
165,CLE,7.0,Stephen Braggs,DB,22,Texas,4.55,28.5,111,4.10,7,83,0,0,0
169,TAM,4.0,Curt Jarvis,NT,22,Alabama,5.08,24.5,92,4.69,15,38,0,0,3
171,BUF,4.0,Kerry Porter,RB,22,Washington State,4.47,32.5,118,4.18,9,35,0,0,0
176,HOU,4.0,Robert Banks,DE,23,Notre Dame,4.98,,,,18,44,0,0,2
178,PIT,1.0,Chris Kelley,TE,22,Akron,4.88,30.0,102,4.50,13,2,0,0,0
182,MIA,3.0,Tom Brown,RB,22,Pittsburgh,4.69,25.5,97,4.35,19,10,0,0,1
184,SEA,1.0,Roland Barbay,NT,22,LSU,5.18,21.5,91,4.59,13,5,0,0,0
185,SEA,7.0,Derek Tennell,TE,23,UCLA,4.70,32.0,117,4.61,17,75,0,0,0
186,KAN,1.0,Doug Hudson,QB,22,Nicholls State,4.86,25.0,105,4.52,,1,0,0,0
187,NYJ,7.0,Gerald Nichols,DT,23,Florida State,4.93,25.0,109,4.48,22,85,0,0,0
195,STL,4.0,William Harris,TE,22,Bishop (TX),4.71,28.0,107,4.43,10,30,0,0,0
201,STL,2.0,Steve Alvord,DT,22,Washington,4.86,28.5,108,4.49,18,27,0,0,2
207,NOR,11.0,Toi Cook,DB,22,Stanford,4.58,29.0,114,4.30,,150,0,0,5
215,CIN,6.0,Solomon Wilcots,DB,22,Colorado,4.60,31.5,118,4.40,11,92,0,0,2
218,KAN,1.0,Michael Clemons,RB,22,William & Mary,4.67,29.0,108,4.42,9,8,0,0,0
223,NYG,3.0,Rod Jones,TE,23,Washington,4.85,24.0,108,4.47,14,9,0,0,0
233,PIT,2.0,Joey Clinkscales,WR,23,Tennessee,4.61,32.5,103,4.43,,14,0,0,0
235,DAL,1.0,Alvin Blount,RB,22,Eastern Kentucky,4.58,35.0,116,4.17,13,2,0,0,0
238,RAI,1.0,Scott Eccles,TE,24,Eastern New Mexico,4.57,31.0,116,4.20,19,1,0,0,0
240,RAM,,Tracy Ham,RB,,Georgia Southern,4.74,28.0,110,4.28,6,,0,0,0
246,TAM,12.0,Greg Davis,K,21,Citadel,5.07,22.0,104,4.68,14,169,0,0,0
248,WAS,,Alfred Jenkins,RB,,Arizona,4.74,31.0,116,4.49,,,0,0,0
249,CHI,1.0,Lakei Heimuli,RB,22,Brigham Young,4.81,29.5,101,4.75,20,3,0,0,0
253,IND,7.0,Chris Goode,DB,23,Alabama,4.60,33.0,116,4.25,2,96,0,0,5
255,GNB,10.0,Don Majkowski,QB,23,Virginia,4.83,34.0,116,4.13,,90,0,1,4
256,SDG,1.0,Anthony Anderson,DB,22,Grambling State,4.69,31.0,111,4.48,,3,0,0,0
258,HOU,7.0,Curtis Duncan,WR,22,Northwestern,4.44,31.0,117,4.56,12,102,0,1,4
